,Name,College_or_above_percentage,Some_college_percentage,Highschool_percentage,No_highschool_percentage
1809,"Grafton County, New Hampshire",42.1,25.1,25.3,7.4
1810,"Hillsborough County, New Hampshire",38.6,28.1,25.7,7.6
1811,"Merrimack County, New Hampshire",35.8,28.9,28.5,6.9
1812,"Rockingham County, New Hampshire",41.9,28.0,25.5,4.6
1813,"Strafford County, New Hampshire",35.2,30.6,27.5,6.7
1814,"Sullivan County, New Hampshire",29.6,24.9,36.6,8.9
1815,"New Jersey, New Jersey",40.7,22.8,26.7,9.7
1816,"Atlantic County, New Jersey",28.8,26.8,32.3,12.2
1817,"Bergen County, New Jersey",50.7,20.2,21.9,7.2
1818,"Burlington County, New Jersey",38.5,27.4,27.9,6.3
1819,"Camden County, New Jersey",32.3,27.0,29.5,11.2
1820,"Cape May County, New Jersey",33.6,27.8,32.1,6.6
1821,"Cumberland County, New Jersey",16.6,25.0,38.9,19.5
1822,"Essex County, New Jersey",36.3,22.5,27.9,13.3
1823,"Gloucester County, New Jersey",33.8,27.8,31.9,6.5
1824,"Hudson County, New Jersey",44.0,17.3,24.4,14.3
1825,"Hunterdon County, New Jersey",54.0,21.0,20.5,4.5
1826,"Mercer County, New Jersey",43.5,20.7,25.4,10.4
1827,"Middlesex County, New Jersey",44.4,21.0,24.6,10.1
1828,"Monmouth County, New Jersey",47.3,23.7,22.7,6.3
1829,"Morris County, New Jersey",55.3,20.0,19.1,5.6
1830,"Ocean County, New Jersey",31.4,27.6,33.5,7.6
1831,"Passaic County, New Jersey",29.5,21.2,33.7,15.5
1832,"Salem County, New Jersey",21.7,29.4,38.5,10.4
1833,"Somerset County, New Jersey",55.6,19.2,19.5,5.8
1834,"Sussex County, New Jersey",36.6,28.4,30.4,4.6
1835,"Union County, New Jersey",37.1,21.9,28.2,12.9
1836,"Warren County, New Jersey",34.5,27.5,30.7,7.3
1837,"New Mexico, New Mexico",28.1,32.2,26.2,13.5
1838,"Bernalillo County, New Mexico",35.3,31.8,22.9,10.0
1839,"Catron County, New Mexico",16.7,34.0,42.0,7.3
1840,"Chaves County, New Mexico",17.7,35.1,26.6,20.6
1841,"Cibola County, New Mexico",17.3,33.8,30.3,18.5
1842,"Colfax County, New Mexico",21.4,35.7,30.4,12.5
1843,"Curry County, New Mexico",20.2,34.9,25.8,19.1
1844,"De Baca County, New Mexico",13.3,41.1,27.6,18.0
1845,"Dona Ana County, New Mexico",29.5,29.6,21.5,19.4
1846,"Eddy County, New Mexico",17.2,34.0,32.5,16.4
1847,"Grant County, New Mexico",25.6,33.5,28.3,12.6
1848,"Guadalupe County, New Mexico",8.5,26.5,47.6,17.4
1849,"Harding County, New Mexico",24.3,40.1,21.0,14.6
1850,"Hidalgo County, New Mexico",19.9,29.1,33.4,17.5
1851,"Lea County, New Mexico",14.6,29.0,32.0,24.4
1852,"Lincoln County, New Mexico",25.1,32.2,33.0,9.7
1853,"Los Alamos County, New Mexico",67.6,20.5,10.0,1.9
1854,"Luna County, New Mexico",13.1,22.2,36.0,28.7
1855,"McKinley County, New Mexico",11.5,30.4,36.4,21.7
1856,"Mora County, New Mexico",17.6,34.8,39.1,8.5
1857,"Otero County, New Mexico",18.9,39.9,28.1,13.2
1858,"Quay County, New Mexico",15.4,29.5,37.3,17.8
1859,"Rio Arriba County, New Mexico",18.5,34.6,33.5,13.4
1860,"Roosevelt County, New Mexico",21.9,27.3,31.8,19.0
1861,"Sandoval County, New Mexico",31.0,34.6,25.3,9.1
1862,"San Juan County, New Mexico",15.4,41.6,29.2,13.8
1863,"San Miguel County, New Mexico",22.0,36.1,25.1,16.7
1864,"Santa Fe County, New Mexico",40.7,26.1,23.0,10.2
1865,"Sierra County, New Mexico",22.1,36.7,29.7,11.5
1866,"Socorro County, New Mexico",22.0,22.9,38.0,17.0
1867,"Taos County, New Mexico",32.3,33.7,25.1,8.9
1868,"Torrance County, New Mexico",15.6,34.1,35.8,14.5
1869,"Union County, New Mexico",12.5,27.2,44.2,16.1
1870,"Valencia County, New Mexico",19.9,32.5,32.3,15.3
1871,"New York, New York",37.5,24.3,25.5,12.8
1872,"Albany County, New York",43.6,27.0,21.8,7.6
1873,"Allegany County, New York",22.9,33.5,35.4,8.3
1874,"Bronx County, New York",20.3,25.4,27.7,26.6
1875,"Broome County, New York",28.8,30.4,31.0,9.7
1876,"Cattaraugus County, New York",19.9,30.6,39.2,10.3
1877,"Cayuga County, New York",22.0,33.2,33.1,11.8
1878,"Chautauqua County, New York",23.1,31.8,34.6,10.6
1879,"Chemung County, New York",23.6,31.7,34.6,10.1
1880,"Chenango County, New York",19.0,29.3,40.2,11.5
1881,"Clinton County, New York",24.4,27.3,36.3,12.0
1882,"Columbia County, New York",33.7,28.0,29.3,9.1
1883,"Cortland County, New York",26.9,32.6,31.2,9.3
1884,"Delaware County, New York",22.1,28.1,39.2,10.5
1885,"Dutchess County, New York",36.4,28.4,26.4,8.9
1886,"Erie County, New York",35.1,30.1,26.8,8.0
1887,"Essex County, New York",29.8,28.8,31.9,9.5
1888,"Franklin County, New York",20.7,29.5,37.5,12.3
1889,"Fulton County, New York",18.2,33.9,36.3,11.6
1890,"Genesee County, New York",21.9,32.7,37.7,7.8
1891,"Greene County, New York",23.9,25.6,37.8,12.7
1892,"Hamilton County, New York",19.9,31.5,28.2,20.5
1893,"Herkimer County, New York",21.1,32.8,36.8,9.4
1894,"Jefferson County, New York",22.5,34.0,34.5,9.0
1895,"Kings County, New York",38.8,19.1,25.2,16.8
1896,"Lewis County, New York",18.3,28.5,44.5,8.7
1897,"Livingston County, New York",27.5,31.9,32.4,8.2
1898,"Madison County, New York",26.6,31.3,34.7,7.4
1899,"Monroe County, New York",39.2,28.6,23.1,9.2
1900,"Montgomery County, New York",18.7,34.1,35.1,12.2
1901,"Nassau County, New York",46.7,22.8,22.0,8.4
1902,"New York County, New York",62.2,13.4,12.2,12.2
1903,"Niagara County, New York",25.6,33.6,32.3,8.5
1904,"Oneida County, New York",26.6,31.6,30.8,11.0
1905,"Onondaga County, New York",36.1,29.7,25.4,8.8
1906,"Ontario County, New York",35.8,31.2,26.2,6.8
1907,"Orange County, New York",30.8,30.5,28.6,10.1
1908,"Orleans County, New York",16.3,30.8,40.5,12.3
1909,"Oswego County, New York",20.1,31.5,37.5,10.9
1910,"Otsego County, New York",33.4,28.6,30.7,7.4
1911,"Putnam County, New York",40.9,25.7,26.4,7.0
1912,"Queens County, New York",33.5,22.3,26.9,17.4
1913,"Rensselaer County, New York",33.9,31.1,27.5,7.5
1914,"Richmond County, New York",34.7,24.0,29.7,11.5
1915,"Rockland County, New York",41.9,24.7,21.9,11.5
1916,"St. Lawrence County, New York",23.6,29.0,36.0,11.4
1917,"Saratoga County, New York",42.0,27.4,24.3,6.3
1918,"Schenectady County, New York",32.1,30.4,28.4,9.1
1919,"Schoharie County, New York",23.6,30.9,36.2,9.3
1920,"Schuyler County, New York",23.2,33.3,34.6,8.9
1921,"Seneca County, New York",21.3,29.2,34.3,15.1
1922,"Steuben County, New York",24.6,31.1,35.5,8.8
1923,"Suffolk County, New York",37.3,26.7,26.4,9.6
1924,"Sullivan County, New York",26.6,28.1,32.3,13.0
1925,"Tioga County, New York",26.1,29.8,35.9,8.2
1926,"Tompkins County, New York",53.1,22.9,18.5,5.5
1927,"Ulster County, New York",33.2,29.2,28.8,8.8
1928,"Warren County, New York",32.3,30.3,29.5,7.9
1929,"Washington County, New York",20.2,28.4,39.5,12.0
1930,"Wayne County, New York",23.7,33.4,32.8,10.1
1931,"Westchester County, New York",49.7,19.9,19.0,11.4
1932,"Wyoming County, New York",18.0,32.3,40.1,9.5
1933,"Yates County, New York",24.5,27.2,34.8,13.5
1934,"North Carolina, North Carolina",32.0,31.0,25.5,11.5
1935,"Alamance County, North Carolina",25.3,34.2,27.9,12.5
1936,"Alexander County, North Carolina",14.2,29.2,39.9,16.6
1937,"Alleghany County, North Carolina",20.8,30.2,27.8,21.3
1938,"Anson County, North Carolina",11.1,30.4,39.6,18.9
1939,"Ashe County, North Carolina",20.0,35.1,31.2,13.7
1940,"Avery County, North Carolina",23.7,31.1,31.0,14.3
1941,"Beaufort County, North Carolina",20.7,35.6,32.0,11.7
1942,"Bertie County, North Carolina",14.5,27.6,36.7,21.2
1943,"Bladen County, North Carolina",18.2,34.1,30.9,16.8
1944,"Brunswick County, North Carolina",29.5,33.5,29.1,8.0
1945,"Buncombe County, North Carolina",41.4,27.1,23.1,8.3
1946,"Burke County, North Carolina",16.7,33.9,31.8,17.6
1947,"Cabarrus County, North Carolina",33.5,31.7,25.4,9.4
1948,"Caldwell County, North Carolina",15.8,32.4,33.2,18.6
1949,"Camden County, North Carolina",19.9,35.3,32.2,12.6
1950,"Carteret County, North Carolina",28.5,38.2,25.4,7.9
1951,"Caswell County, North Carolina",15.8,32.6,33.8,17.9
1952,"Catawba County, North Carolina",23.1,33.2,30.2,13.6
1953,"Chatham County, North Carolina",43.7,25.7,19.7,10.9
1954,"Cherokee County, North Carolina",21.9,33.5,33.4,11.2
1955,"Chowan County, North Carolina",21.7,29.6,32.6,16.1
1956,"Clay County, North Carolina",27.0,33.3,27.8,11.9
1957,"Cleveland County, North Carolina",19.5,32.0,34.3,14.2
1958,"Columbus County, North Carolina",12.9,33.5,37.6,16.0
1959,"Craven County, North Carolina",25.0,38.2,25.8,11.1
1960,"Cumberland County, North Carolina",25.6,39.5,26.4,8.5
1961,"Currituck County, North Carolina",25.2,34.3,31.3,9.1
1962,"Dare County, North Carolina",38.3,34.2,21.9,5.6
1963,"Davidson County, North Carolina",18.9,34.0,32.0,15.1
1964,"Davie County, North Carolina",24.3,33.3,32.2,10.2
1965,"Duplin County, North Carolina",14.6,32.6,31.5,21.3
1966,"Durham County, North Carolina",49.5,22.4,17.7,10.4
1967,"Edgecombe County, North Carolina",16.2,28.9,37.9,17.0
1968,"Forsyth County, North Carolina",33.9,30.0,25.1,11.0
1969,"Franklin County, North Carolina",21.2,35.6,29.8,13.5
1970,"Gaston County, North Carolina",22.1,33.1,30.4,14.4
1971,"Gates County, North Carolina",12.5,37.3,39.2,11.1
1972,"Graham County, North Carolina",13.3,34.4,34.3,18.0
1973,"Granville County, North Carolina",23.8,31.4,30.8,13.9
1974,"Greene County, North Carolina",10.4,34.1,31.9,23.7
1975,"Guilford County, North Carolina",36.6,29.5,23.5,10.4
1976,"Halifax County, North Carolina",14.7,27.1,37.4,20.9
1977,"Harnett County, North Carolina",22.1,37.1,28.9,11.9
1978,"Haywood County, North Carolina",27.8,34.4,26.3,11.5
1979,"Henderson County, North Carolina",31.5,34.1,25.8,8.6
1980,"Hertford County, North Carolina",16.0,33.6,34.4,15.9
1981,"Hoke County, North Carolina",18.4,39.6,29.5,12.5
1982,"Hyde County, North Carolina",10.5,31.0,37.0,21.6
1983,"Iredell County, North Carolina",29.7,33.1,27.6,9.7
1984,"Jackson County, North Carolina",28.4,31.5,28.1,12.0
1985,"Johnston County, North Carolina",24.0,36.5,27.7,11.8
1986,"Jones County, North Carolina",14.2,32.4,35.7,17.7
1987,"Lee County, North Carolina",20.5,37.0,27.6,14.9
1988,"Lenoir County, North Carolina",15.5,33.6,32.0,18.9
1989,"Lincoln County, North Carolina",23.1,35.0,30.7,11.2
1990,"McDowell County, North Carolina",18.4,34.3,31.9,15.4
1991,"Macon County, North Carolina",23.9,32.7,32.4,11.0
1992,"Madison County, North Carolina",30.1,26.5,32.1,11.2
1993,"Martin County, North Carolina",15.1,33.3,34.9,16.8
1994,"Mecklenburg County, North Carolina",45.8,28.1,16.6,9.5
1995,"Mitchell County, North Carolina",22.1,33.9,30.3,13.7
1996,"Montgomery County, North Carolina",16.3,30.6,34.8,18.3
1997,"Moore County, North Carolina",38.7,31.9,21.7,7.6
1998,"Nash County, North Carolina",21.2,31.3,33.9,13.6
1999,"New Hanover County, North Carolina",42.2,31.1,19.9,6.8
2000,"Northampton County, North Carolina",15.1,27.3,38.6,19.0
2001,"Onslow County, North Carolina",23.6,39.4,29.3,7.7
2002,"Orange County, North Carolina",60.8,19.6,12.5,7.0
2003,"Pamlico County, North Carolina",21.5,37.4,29.7,11.3
2004,"Pasquotank County, North Carolina",23.3,33.8,31.3,11.6
2005,"Pender County, North Carolina",29.0,32.3,27.5,11.2
2006,"Perquimans County, North Carolina",19.6,36.2,30.8,13.4
2007,"Person County, North Carolina",15.7,36.5,36.0,11.8
2008,"Pitt County, North Carolina",32.1,32.7,24.2,11.0
2009,"Polk County, North Carolina",32.7,33.0,25.9,8.4
2010,"Randolph County, North Carolina",16.1,32.4,34.4,17.0
2011,"Richmond County, North Carolina",17.8,34.7,30.4,17.1
2012,"Robeson County, North Carolina",14.0,30.4,33.2,22.4
2013,"Rockingham County, North Carolina",15.2,34.2,33.9,16.8
2014,"Rowan County, North Carolina",19.8,33.5,32.6,14.1
2015,"Rutherford County, North Carolina",19.2,33.8,31.9,15.1
2016,"Sampson County, North Carolina",14.4,31.5,35.0,19.0
2017,"Scotland County, North Carolina",15.5,31.8,33.6,19.1
2018,"Stanly County, North Carolina",17.6,36.8,32.0,13.5
2019,"Stokes County, North Carolina",13.4,31.2,40.6,14.9
2020,"Surry County, North Carolina",17.9,32.9,29.1,20.1
2021,"Swain County, North Carolina",20.6,32.8,29.9,16.7
2022,"Transylvania County, North Carolina",33.8,32.5,24.6,9.0
2023,"Tyrrell County, North Carolina",10.6,28.6,37.4,23.4
2024,"Union County, North Carolina",36.0,30.0,23.6,10.4
2025,"Vance County, North Carolina",17.5,30.7,34.8,16.9
2026,"Wake County, North Carolina",54.0,24.7,14.7,6.6
2027,"Warren County, North Carolina",15.3,30.1,38.3,16.2
2028,"Washington County, North Carolina",12.8,35.4,35.7,16.0
2029,"Watauga County, North Carolina",42.7,26.9,21.0,9.4
2030,"Wayne County, North Carolina",19.8,35.4,30.3,14.5
2031,"Wilkes County, North Carolina",16.0,33.9,31.6,18.5
2032,"Wilson County, North Carolina",20.0,28.9,32.5,18.6
2033,"Yadkin County, North Carolina",12.9,36.7,35.1,15.3
2034,"Yancey County, North Carolina",20.3,31.3,35.0,13.4
2035,"North Dakota, North Dakota",30.7,36.3,26.1,6.9
2036,"Adams County, North Dakota",23.5,33.1,36.2,7.2
2037,"Barnes County, North Dakota",30.4,34.0,29.8,5.8
2038,"Benson County, North Dakota",17.2,39.3,29.8,13.7
2039,"Billings County, North Dakota",26.2,27.8,38.1,7.8
2040,"Bottineau County, North Dakota",25.1,40.6,28.3,6.1
2041,"Bowman County, North Dakota",19.5,34.3,36.1,10.1
2042,"Burke County, North Dakota",21.6,44.1,27.9,6.3
2043,"Burleigh County, North Dakota",36.5,35.5,22.4,5.6
2044,"Cass County, North Dakota",40.8,35.4,19.0,4.9
2045,"Cavalier County, North Dakota",22.8,43.8,26.7,6.7
2046,"Dickey County, North Dakota",27.7,38.1,26.8,7.4
2047,"Divide County, North Dakota",16.2,46.1,30.1,7.5
2048,"Dunn County, North Dakota",19.1,36.9,32.8,11.2
2049,"Eddy County, North Dakota",22.3,37.4,30.7,9.6
2050,"Emmons County, North Dakota",19.4,34.0,34.8,11.8
2051,"Foster County, North Dakota",25.3,41.2,25.4,8.1
2052,"Golden Valley County, North Dakota",24.1,41.7,27.8,6.4
2053,"Grand Forks County, North Dakota",36.2,37.3,21.9,4.6
2054,"Grant County, North Dakota",19.0,36.7,36.5,7.8
2055,"Griggs County, North Dakota",27.5,36.2,27.3,9.0
2056,"Hettinger County, North Dakota",15.6,38.6,32.4,13.4
2057,"Kidder County, North Dakota",17.2,35.9,36.6,10.2
2058,"LaMoure County, North Dakota",25.1,33.7,28.1,13.1
2059,"Logan County, North Dakota",21.7,34.5,31.3,12.5
2060,"McHenry County, North Dakota",20.4,38.8,31.2,9.6
2061,"McIntosh County, North Dakota",14.9,35.7,33.0,16.4
2062,"McKenzie County, North Dakota",26.8,33.2,31.3,8.6
2063,"McLean County, North Dakota",21.1,37.4,33.5,8.0
2064,"Mercer County, North Dakota",20.9,43.2,26.4,9.5
2065,"Morton County, North Dakota",27.3,36.9,27.9,7.8
2066,"Mountrail County, North Dakota",21.5,35.2,33.2,10.1
2067,"Nelson County, North Dakota",26.2,37.1,29.4,7.4
2068,"Oliver County, North Dakota",19.6,44.2,28.5,7.6
2069,"Pembina County, North Dakota",21.5,37.5,30.4,10.6
2070,"Pierce County, North Dakota",27.9,34.5,32.1,5.5
2071,"Ramsey County, North Dakota",26.3,38.6,26.7,8.4
2072,"Ransom County, North Dakota",20.5,34.6,36.1,8.9
2073,"Renville County, North Dakota",22.6,37.2,34.0,6.3
2074,"Richland County, North Dakota",22.2,44.1,25.8,7.9
2075,"Rolette County, North Dakota",19.0,44.9,24.8,11.3
2076,"Sargent County, North Dakota",18.6,39.2,36.1,6.1
2077,"Sheridan County, North Dakota",14.9,30.8,38.5,15.8
2078,"Sioux County, North Dakota",14.5,37.4,33.8,14.3
2079,"Slope County, North Dakota",25.9,36.3,29.0,8.8
2080,"Stark County, North Dakota",24.5,35.1,32.7,7.8
2081,"Steele County, North Dakota",28.3,43.8,24.8,3.2
2082,"Stutsman County, North Dakota",24.1,32.1,35.2,8.5
2083,"Towner County, North Dakota",14.5,44.8,29.9,10.9
2084,"Traill County, North Dakota",30.1,37.3,26.2,6.4
2085,"Walsh County, North Dakota",17.4,35.7,33.7,13.2
2086,"Ward County, North Dakota",29.0,34.5,31.0,5.5
2087,"Wells County, North Dakota",22.2,35.1,32.9,9.7
2088,"Williams County, North Dakota",25.6,35.6,29.5,9.4
2089,"Ohio, Ohio",28.9,29.1,32.8,9.2
2090,"Adams County, Ohio",15.5,23.2,43.8,17.5
2091,"Allen County, Ohio",18.7,32.7,39.2,9.4
2092,"Ashland County, Ohio",22.0,25.5,42.6,9.9
2093,"Ashtabula County, Ohio",14.9,28.4,42.8,13.9
2094,"Athens County, Ohio",31.8,26.2,32.4,9.6
2095,"Auglaize County, Ohio",19.2,30.8,43.1,6.9
2096,"Belmont County, Ohio",16.2,31.0,43.9,9.0
2097,"Brown County, Ohio",14.3,28.5,45.0,12.2
2098,"Butler County, Ohio",31.3,27.5,32.8,8.4
2099,"Carroll County, Ohio",13.2,27.0,48.7,11.1
2100,"Champaign County, Ohio",15.9,29.4,45.9,8.8
2101,"Clark County, Ohio",18.9,32.0,38.1,11.1
2102,"Clermont County, Ohio",28.9,28.9,32.0,10.2
2103,"Clinton County, Ohio",20.0,31.4,38.7,9.9
2104,"Columbiana County, Ohio",14.5,30.0,44.8,10.8
2105,"Coshocton County, Ohio",14.9,26.9,43.8,14.4
2106,"Crawford County, Ohio",15.3,28.9,46.2,9.6
2107,"Cuyahoga County, Ohio",33.5,29.3,27.7,9.5
2108,"Darke County, Ohio",15.4,28.2,46.7,9.6
2109,"Defiance County, Ohio",18.4,32.0,41.5,8.0
2110,"Delaware County, Ohio",55.5,23.7,17.5,3.2
2111,"Erie County, Ohio",24.9,32.1,35.2,7.8
2112,"Fairfield County, Ohio",29.0,31.3,32.9,6.7
2113,"Fayette County, Ohio",15.2,23.5,45.1,16.1
2114,"Franklin County, Ohio",40.4,26.3,24.5,8.9
2115,"Fulton County, Ohio",17.0,33.1,42.6,7.3
2116,"Gallia County, Ohio",17.4,27.1,41.6,13.9
2117,"Geauga County, Ohio",37.8,26.8,25.8,9.6
2118,"Greene County, Ohio",39.7,30.9,23.5,6.0
2119,"Guernsey County, Ohio",15.1,28.1,41.6,15.2
2120,"Hamilton County, Ohio",38.9,27.1,25.8,8.2
2121,"Hancock County, Ohio",27.6,29.5,36.0,6.9
2122,"Hardin County, Ohio",16.0,25.1,49.0,9.8
2123,"Harrison County, Ohio",12.4,26.2,49.2,12.3
2124,"Henry County, Ohio",17.6,32.0,43.9,6.5
2125,"Highland County, Ohio",13.8,26.8,43.7,15.7
2126,"Hocking County, Ohio",13.9,30.6,43.8,11.7
2127,"Holmes County, Ohio",10.4,13.5,32.3,43.9
2128,"Huron County, Ohio",14.7,29.1,45.4,10.8
2129,"Jackson County, Ohio",14.8,26.4,45.2,13.6
2130,"Jefferson County, Ohio",17.5,30.0,44.0,8.5
2131,"Knox County, Ohio",22.6,30.3,38.9,8.3
2132,"Lake County, Ohio",28.3,32.8,31.4,7.4
2133,"Lawrence County, Ohio",15.8,27.7,44.2,12.3
2134,"Licking County, Ohio",27.6,30.8,34.1,7.5
2135,"Logan County, Ohio",17.1,30.0,45.5,7.5
2136,"Lorain County, Ohio",25.3,33.9,30.7,10.0
2137,"Lucas County, Ohio",26.7,33.5,29.5,10.3
2138,"Madison County, Ohio",18.1,28.4,40.9,12.6
2139,"Mahoning County, Ohio",24.6,29.3,37.2,8.9
2140,"Marion County, Ohio",12.9,32.2,44.8,10.1
2141,"Medina County, Ohio",33.9,30.1,30.7,5.3
2142,"Meigs County, Ohio",12.1,27.5,44.3,16.0
2143,"Mercer County, Ohio",19.4,29.1,43.7,7.8
2144,"Miami County, Ohio",22.6,31.7,37.6,8.1
2145,"Monroe County, Ohio",12.1,27.6,50.5,9.8
2146,"Montgomery County, Ohio",28.3,34.4,27.8,9.5
2147,"Morgan County, Ohio",10.4,30.3,45.1,14.1
2148,"Morrow County, Ohio",14.7,29.1,44.5,11.7
2149,"Muskingum County, Ohio",17.5,28.9,42.3,11.3
2150,"Noble County, Ohio",11.0,24.6,47.8,16.6
2151,"Ottawa County, Ohio",23.9,31.9,36.2,8.0
2152,"Paulding County, Ohio",15.9,28.9,45.1,10.1
2153,"Perry County, Ohio",13.0,27.1,47.3,12.5
2154,"Pickaway County, Ohio",18.6,26.5,41.9,13.0
2155,"Pike County, Ohio",14.2,25.7,44.0,16.1
2156,"Portage County, Ohio",29.9,25.7,37.0,7.5
2157,"Preble County, Ohio",18.2,29.1,43.2,9.5
2158,"Putnam County, Ohio",23.2,30.1,40.6,6.1
2159,"Richland County, Ohio",17.8,29.6,40.5,12.1
2160,"Ross County, Ohio",16.2,28.3,44.4,11.1
2161,"Sandusky County, Ohio",16.5,32.4,42.6,8.5
2162,"Scioto County, Ohio",15.6,27.6,42.4,14.3
2163,"Seneca County, Ohio",17.3,29.9,44.8,7.9
2164,"Shelby County, Ohio",19.3,29.1,41.2,10.4
2165,"Stark County, Ohio",23.5,30.5,38.1,7.9
2166,"Summit County, Ohio",32.8,29.4,29.9,7.9
2167,"Trumbull County, Ohio",19.2,26.2,44.0,10.6
2168,"Tuscarawas County, Ohio",17.9,24.0,45.2,12.9
2169,"Union County, Ohio",35.5,26.5,32.2,5.7
2170,"Van Wert County, Ohio",17.2,31.2,43.8,7.8
2171,"Vinton County, Ohio",12.8,24.3,41.8,21.1
2172,"Warren County, Ohio",43.7,24.6,25.7,5.9
2173,"Washington County, Ohio",18.7,32.0,39.9,9.4
2174,"Wayne County, Ohio",22.5,25.2,39.1,13.2
2175,"Williams County, Ohio",15.1,34.0,42.3,8.6
2176,"Wood County, Ohio",34.3,30.2,30.4,5.1
2177,"Wyandot County, Ohio",19.3,28.3,45.1,7.3
2178,"Oklahoma, Oklahoma",26.1,31.3,31.1,11.4
2179,"Adair County, Oklahoma",10.8,24.6,45.8,18.8
2180,"Alfalfa County, Oklahoma",22.5,29.3,34.6,13.5
2181,"Atoka County, Oklahoma",16.4,27.5,39.5,16.6
2182,"Beaver County, Oklahoma",23.3,30.4,31.4,14.9
2183,"Beckham County, Oklahoma",16.7,33.1,34.2,16.0
2184,"Blaine County, Oklahoma",19.4,29.3,34.9,16.4
2185,"Bryan County, Oklahoma",22.6,30.5,34.1,12.7
2186,"Caddo County, Oklahoma",15.2,28.1,42.1,14.7
2187,"Canadian County, Oklahoma",28.4,33.3,29.5,8.8
2188,"Carter County, Oklahoma",20.2,30.8,36.4,12.6
2189,"Cherokee County, Oklahoma",27.5,28.7,31.3,12.5
2190,"Choctaw County, Oklahoma",13.5,29.8,40.6,16.1
2191,"Cimarron County, Oklahoma",26.6,24.6,33.1,15.7
2192,"Cleveland County, Oklahoma",34.3,33.6,24.4,7.8
2193,"Coal County, Oklahoma",17.3,24.0,43.7,15.0
2194,"Comanche County, Oklahoma",23.2,34.6,32.9,9.2
2195,"Cotton County, Oklahoma",15.1,26.0,43.1,15.7
2196,"Craig County, Oklahoma",14.4,33.4,39.9,12.3
2197,"Creek County, Oklahoma",16.0,32.5,40.8,10.7
2198,"Custer County, Oklahoma",26.4,31.6,29.5,12.5
2199,"Delaware County, Oklahoma",18.2,29.8,37.2,14.8
2200,"Dewey County, Oklahoma",20.9,31.4,41.3,6.5
2201,"Ellis County, Oklahoma",20.3,33.7,31.7,14.3
2202,"Garfield County, Oklahoma",23.3,28.0,35.9,12.7
2203,"Garvin County, Oklahoma",15.8,26.9,44.2,13.2
2204,"Grady County, Oklahoma",21.4,28.0,40.6,10.0
2205,"Grant County, Oklahoma",22.2,32.6,35.3,9.9
2206,"Greer County, Oklahoma",12.3,37.5,34.0,16.2
2207,"Harmon County, Oklahoma",18.0,33.3,30.6,18.1
2208,"Harper County, Oklahoma",19.5,35.6,28.4,16.5
2209,"Haskell County, Oklahoma",15.5,29.9,39.6,15.0
2210,"Hughes County, Oklahoma",14.8,28.2,39.7,17.3
2211,"Jackson County, Oklahoma",22.2,34.5,29.0,14.3
2212,"Jefferson County, Oklahoma",15.5,27.2,40.3,16.9
2213,"Johnston County, Oklahoma",22.7,28.7,34.6,14.0
2214,"Kay County, Oklahoma",19.3,36.9,32.2,11.6
2215,"Kingfisher County, Oklahoma",23.2,25.6,40.5,10.8
2216,"Kiowa County, Oklahoma",18.1,31.1,36.0,14.9
2217,"Latimer County, Oklahoma",15.4,35.3,36.7,12.7
2218,"Le Flore County, Oklahoma",15.7,28.6,40.1,15.5
2219,"Lincoln County, Oklahoma",14.6,32.1,41.5,11.8
2220,"Logan County, Oklahoma",29.3,31.1,30.7,8.9
2221,"Love County, Oklahoma",13.4,29.2,41.2,16.2
2222,"McClain County, Oklahoma",25.4,32.8,31.2,10.6
2223,"McCurtain County, Oklahoma",14.4,26.1,42.3,17.2
2224,"McIntosh County, Oklahoma",13.1,32.6,41.7,12.5
2225,"Major County, Oklahoma",20.1,30.7,39.4,9.8
2226,"Marshall County, Oklahoma",15.2,30.1,35.8,19.0
2227,"Mayes County, Oklahoma",14.5,32.0,41.0,12.5
2228,"Murray County, Oklahoma",18.5,26.6,39.8,15.1
2229,"Muskogee County, Oklahoma",19.8,31.9,34.5,13.8
2230,"Noble County, Oklahoma",21.8,30.7,38.0,9.4
2231,"Nowata County, Oklahoma",13.5,34.7,41.7,10.1
2232,"Okfuskee County, Oklahoma",11.4,30.8,39.3,18.5
2233,"Oklahoma County, Oklahoma",33.1,30.0,24.9,12.0
2234,"Okmulgee County, Oklahoma",14.2,36.9,36.5,12.5
2235,"Osage County, Oklahoma",19.3,33.5,36.6,10.5
2236,"Ottawa County, Oklahoma",15.3,35.5,35.0,14.2
2237,"Pawnee County, Oklahoma",17.7,29.2,42.7,10.4
2238,"Payne County, Oklahoma",37.8,26.9,27.3,8.0
2239,"Pittsburg County, Oklahoma",18.3,32.1,36.4,13.2
2240,"Pontotoc County, Oklahoma",28.8,28.5,31.9,10.7
2241,"Pottawatomie County, Oklahoma",19.4,33.7,35.5,11.4
2242,"Pushmataha County, Oklahoma",14.7,26.2,44.1,15.0
2243,"Roger Mills County, Oklahoma",17.9,38.0,35.1,9.0
2244,"Rogers County, Oklahoma",24.3,35.3,32.8,7.6
2245,"Seminole County, Oklahoma",14.4,34.7,35.3,15.6
2246,"Sequoyah County, Oklahoma",13.8,28.7,39.8,17.8
2247,"Stephens County, Oklahoma",18.4,26.1,43.2,12.3
2248,"Texas County, Oklahoma",26.4,21.6,27.5,24.6
2249,"Tillman County, Oklahoma",16.5,26.5,35.4,21.6
